rlregion,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RL47226,121.3619199737483,-0.5757261444740092,0.21308905842651416,-2.701809979007223,0.00689631630606209,0.009728749622975107
RL39856,113.99753240151509,-0.47358017363734023,0.17532192103305944,-2.7012034253722326,0.0069089066815386626,0.00974511111932055
RL37611,138.73953252900233,0.5996568992398258,0.2220257497258741,2.70084393355364,0.006916378479356408,0.00975424912642251
RL42543,252.0479057527226,0.4370731910517079,0.16190984512200413,2.6994849554846994,0.006944689563507887,0.009792770177146389
RL12780,63.675373769198444,-0.4973521109168813,0.18426135158946957,-2.6991667358707505,0.006951333937083116,0.009800732126655592
RL8701,35.482665655972774,0.5524167771422046,0.20473056664154513,2.69826233671013,0.006970248830053,0.009825989593901876
RL5255,336.6499713992598,0.6158013612863401,0.22848330378772533,2.6951700674744115,0.0070352712732276975,0.009916228491904117
RL35675,135.0647794691278,0.4198778515174366,0.15581159137454195,2.6947793024469453,0.007043526700518459,0.009926439753026876
RL56696,796.5698326136318,0.27017418038602714,0.10029034887192587,2.6939200374210346,0.007061710411108819,0.009950638002165103
RL58243,149.9050298693523,0.4152778984577581,0.15416648655394144,2.6936976235263437,0.0070664239816109605,0.009955851291164941
RL1801,202.10267647109717,0.383530015745666,0.14250181288197816,2.691404466996574,0.007115187331107143,0.010023115706709532
RL10612,123.11199370112692,-0.3864500041973121,0.1436040706671113,-2.6910797333394685,0.007122117068953454,0.010031438556672823
RL47627,324.7970723983965,0.42002109318265046,0.15609913253682373,2.6907330384015276,0.007129522142219088,0.010040428429168429
RL11429,303.28411999993216,0.38703224139123177,0.1438980564268758,2.689627997775694,0.0071531709034300716,0.010072288252320519
RL36588,168.8169257722306,0.4778813247346546,0.17770296206650432,2.6892141761588095,0.0071620451266249914,0.0100833380850835
RL31886,303.6060370337501,-0.6363682049699708,0.23674492619662094,-2.687990890421261,0.007188335766819359,0.010118901552489406
RL16354,304.54880460641147,0.5580217950562534,0.2079726227745399,2.6831502512770475,0.007293221564029756,0.010265076072634686
RL40057,148.37729956072474,0.32050474221189607,0.11947957069089316,2.6825066440946395,0.007307270028357109,0.010283375133056293
RL7714,129.73607947507847,-0.309914835101283,0.11554212894388088,-2.6822669612727097,0.007312507954556783,0.010289271831744893
RL1496,145.3708107884953,0.41874561309686725,0.1561895546460274,2.681009072891404,0.007340052582798136,0.010326549622217435
RL22605,128.5386743299363,-0.5759029167431493,0.2148153267763482,-2.6809209816892725,0.007341985044292987,0.010327788731550942
RL47840,159.03044223544677,-0.4435211717971755,0.1655373038132478,-2.6792823223551916,0.007378015717666092,0.010376985727224439
RL19896,199.58186640169845,0.3847090113164544,0.14363392278106477,2.6783993910884853,0.007397495206105783,0.01040289315823554
RL9017,84.4754920151433,-0.6687857106465473,0.24977450927724684,-2.677557900450934,0.007416103342088575,0.010427567986728207
RL41676,245.08527905828154,0.3841351025787531,0.14357451502737245,2.6755103613306153,0.007461556675898828,0.010489976600905724
RL28170,187.2068062357204,-0.6298506635522888,0.23549755820615684,-2.674552841863912,0.00748289826906357,0.010518474234498176
RL26043,312.1609453034366,0.26085642686729305,0.09760255642834426,2.6726392874637765,0.007525712449271905,0.010577142729619307
RL34169,208.13917226517546,-0.4350449011986029,0.16283930934485613,-2.671620893928493,0.007548587595444615,0.010607774783524059
RL48943,322.1289193675149,0.3872596878109045,0.14496997135335957,2.67130968017488,0.007555590501886759,0.010616096541497779
RL2385,274.5015592144382,-0.3525883734319247,0.13206134770742706,-2.6698831986256892,0.007587763667287238,0.010659776711410681
RL3963,137.78839139753035,-0.3485444833402055,0.13055455291271847,-2.6697229285693544,0.007591386095939208,0.01066334021772608
RL37054,96.10872561077298,-0.3776992614232956,0.14152784612091726,-2.66872754567748,0.0076139185054622995,0.010693461058872965
RL55561,960.6118518337223,0.5208485522223818,0.19521025839099432,2.668141298082572,0.007627217385451135,0.010710606996300607
RL54458,542.3158818274175,0.31505823161362656,0.1180921450007572,2.667901676369808,0.007632659136085375,0.01071518409097332
RL14389,143.8602460259627,-0.3545833459090677,0.13290547135843633,-2.6679364083724013,0.007631870165179728,0.01071518409097332
RL3602,291.8264740886862,0.27961110624849084,0.10484181328867911,2.6669808302398317,0.00765360372646737,0.01074305154286872
RL51184,156.64266311718373,0.38627501729643127,0.14485384438658147,2.6666535426257134,0.007661060263188349,0.010751981103974502
RL1600,278.77718326852613,-0.40669505159729474,0.15252709897409536,-2.666378986637426,0.007667320445929376,0.010759229319666544
RL63245,204.26242699081573,-0.3588300692486089,0.13458594660682321,-2.66617784616761,0.007671909582427234,0.010764130890046499
RL15547,76.21747837146867,0.5481822079670263,0.20564985994908988,2.6656094397668584,0.007684891415561669,0.010780804814402228
RL42223,148.5706260900117,-0.3648937787171031,0.13709988539343718,-2.661517751601054,0.007778923900124146,0.010911160219857037
RL62883,15.868029127004561,-0.42139600929041726,0.15840689011350217,-2.660212627042153,0.007809133539668147,0.010951969631468324
RL51764,284.75383124893096,0.35705009264382764,0.1342536991631407,2.659517725541045,0.007825261226951947,0.01097302088371671
RL63644,72.3390966299998,-0.5119795175349756,0.19253761858411214,-2.659114209991705,0.007834639944235073,0.010984603691089152
RL40663,127.92655421484338,-0.4652024343214622,0.17498548508666625,-2.6585201286327163,0.00784846621753836,0.011002418023729721
RL20017,94.85025334621436,-0.3121925186078591,0.11747751839952121,-2.6574660655168514,0.007873051620360592,0.011035307866391808
RL56252,96.63627874738488,0.4515577014255522,0.1699462689135111,2.6570615778293933,0.007882504358755864,0.011046980562720505
RL7510,338.9067376890239,0.5193439878185767,0.1956559455400449,2.654373657724,0.007945578786086772,0.01113378762548118
RL843,57.5689025678524,-0.5408880003947747,0.204118023547453,-2.6498786878025498,0.008052067751023536,0.011281396107155247
RL38557,507.22521038615486,0.30778505706847864,0.11619706094398771,2.6488196393955703,0.008077342592373986,0.011315193189317053
RL29763,152.15333661549136,-0.3960932874052594,0.14958517185214568,-2.647944863122994,0.008098273203401543,0.011342895857567132
RL56731,184.80907401081942,0.5181332998478498,0.19582813607135927,2.6458572820151,0.008148418684569485,0.011411504775024579
RL53716,309.0451487169523,0.36887821035956403,0.13944072538252844,2.6454123022353664,0.008159143345104147,0.011424894859392945
RL44611,443.9268195520349,-0.3383337355613699,0.12790391638639184,-2.645217950475256,0.008163831468209409,0.011429829629001482
RL47691,181.05649976614478,-0.5063492287858867,0.1915094277426448,-2.643991132730717,0.008193480258611576,0.01146970436772141
RL18302,220.45957420358027,0.4977332490429719,0.18868373111246206,2.6379235035706685,0.008341539616310739,0.01167530202853071
RL56588,109.37615138998538,0.3837411702292604,0.1454951662092048,2.6374839812718323,0.008352357023696745,0.011688776681302842
RL37710,202.64309109002434,0.4026523176790914,0.15269917638261873,2.6368990797315397,0.008366771927732766,0.0117072813237868
RL51577,155.03140531277387,-0.2538105164791739,0.09628623443549109,-2.63600002603923,0.008388972509238578,0.011736673321088877
RL9999,1049.0022755378347,0.40645490782553667,0.15433956055700296,2.633510853333153,0.008450713480818021,0.011816318721576671
RL61121,246.4032492422476,0.3053273291183635,0.11593759312052926,2.63354897147937,0.008449764949815827,0.011816318721576671
RL58662,101.68389222917946,0.448143494780981,0.1701644216191818,2.633591032230582,0.008448718421624661,0.011816318721576671
RL14997,63.560640159742924,-0.451010640690692,0.1712560626652982,-2.633545543857005,0.008449850238789415,0.011816318721576671
RL2466,142.01481501206348,-0.2583622485164311,0.09811402635790853,-2.63328555668438,0.008456321701945381,0.011822477094690155
RL14313,56.44835099616993,-0.6144694855702566,0.23346544384962878,-2.631950473861246,0.008489623749704358,0.01186734593908851
RL38660,425.2300108671939,-0.241756549365607,0.09187863925218835,-2.631259576037407,0.008506903377218994,0.011888116004595207
RL22757,35.481554425810714,-0.5183837695606939,0.19700661766359087,-2.631301301999345,0.008505858902814245,0.011888116004595207
RL1675,68.59855914460515,-0.5916903644190317,0.22499223258400217,-2.6298257394202293,0.008542864588639386,0.011936671920950308
RL3802,126.5489120886317,0.37401290607030635,0.14225548745458172,2.629163294595004,0.008559524833259688,0.011958249233548176
RL20288,128.87087654392673,0.8330958218955179,0.3169216837393622,2.628711964627386,0.008570892247641387,0.01197242700879636
RL52638,227.61620835471848,-0.2941409006112718,0.11198548837183325,-2.6265983645543,0.008624306194167328,0.012045325960279215
RL56301,131.3841929130231,0.38471483563373826,0.146539982155972,2.6253233416137673,0.008656671702423256,0.012088810596956254
RL13581,151.95966438090946,0.3733877164651389,0.142326180501549,2.623464742392038,0.008704045336331883,0.012153238333965461
RL22318,118.85949791931168,-0.3310231980155478,0.1262160544792194,-2.622671096647602,0.008724344980200338,0.01217985039885802
RL3164,275.13549213865986,0.3112890970730887,0.11872097145773577,2.622022825882169,0.008740957646169363,0.01220130832770194
RL54166,619.4798824881025,0.5322541148945584,0.20309936023174896,2.6206587469661327,0.008776006048727024,0.012248490534181264
RL20109,103.56883516433658,-0.5694185798068135,0.21732722267920637,-2.6200978082130293,0.008790455107714933,0.012266913337751975
RL36107,174.35772786201144,-0.4003744841777141,0.1528194696818875,-2.6199180314598838,0.008795090420713421,0.012271637955584795
RL20506,583.3003424965103,0.24803438333897496,0.09467456501851976,2.6198629303494103,0.008796511569361714,0.01227187720004717
